file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
2308734,SRC187,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42025699960762,-42.930641559470075,800.2493131669844,8.167720712777282,Prompt5,B,50,17.02322169664412,,20,775.6777350250343,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.170700931912496
2308734,SRC188,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.417763243205664,-42.929688253719526,961.5912136692933,9.382851514561708,Prompt5,B,50,16.51606783589738,,20,1237.493339064496,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.663547071165755
2308734,SRC189,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.428345037290041,-42.93496632966854,276.6858334185025,11.973772662102192,Prompt5,B,50,17.503044016488982,,20,498.60014186996517,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.650523251757356
2308734,SRC190,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42239992217531,-42.93421738731918,660.9305408148613,23.39651840640238,Prompt5,B,50,16.88558770993991,,20,880.5112726767655,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.033066945208283
2308734,SRC191,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.41726851000286,-42.93245544853951,992.8579996674624,27.021988667348126,Prompt5,B,50,18.259387237768237,,20,248.43633239009804,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,19.40686647303661
2308734,SRC192,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.424638528299502,-42.93554120195487,515.9924607652792,25.17587855083991,Prompt5,B,50,11.880325819202984,0.0035544863690570865,20,88478.89224978576,290.13712349561706,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,13.027805054471358
2308734,SRC193,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42305277083472,-42.93663230892949,618.1647875047577,35.84399094013094,Prompt5,B,50,15.530958734659876,,20,3066.101379013112,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,16.67843796992825
2308734,SRC194,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.429168329312327,-42.939959869690824,222.30825133768155,39.1892765640161,Prompt5,B,50,17.276400019050335,,20,614.3417022026008,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.42387925431871
2308734,SRC195,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.422582774959908,-42.93681145480721,648.4816704899735,38.16291314649811,Prompt5,B,50,15.037166586766036,0.0027552144879697165,20,4831.737921087921,12.27681248595232,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,16.184645822034412
2308734,SRC196,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.428890467973396,-42.94008279308337,240.22807927035927,40.640405988844805,Prompt5,B,50,15.821462313672376,,20,2346.308310546431,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,16.968941548940748
