file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_afterglow,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag,local_catalog_candidate,local_catalog_matched,local_ref_mag_resolved,local_calibration_candidate,local_mag_error_missing_or_zero,local_flux_error_missing_or_zero,local_ref_mag,local_ref_mag_error,local_catalog_name,local_catalog_id,local_catalog_ra,local_catalog_dec,local_match_distance_arcsec,local_per_source_zero_point,local_fit_zero_point,local_fit_zero_point_error,local_fit_residual,local_fit_accepted,local_fit_rejected,local_rejection_reason,afterglow_per_source_zero_point,afterglow_zero_point_correction,afterglow_zero_point_error,afterglow_calibrated_zero_point,afterglow_calibrated_mag,_is_calibration,used_for_calibration,accepted_by_fit,rejected_by_fit,rejection_reason,ref_mag,ref_mag_error,catalog_minus_measured_mag,zero_point_residual,fit_zero_point
2308734,SRC187,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.42025699960762,-42.93064155947008,800.2493131669844,8.167720712777282,Prompt5,B,50,-2.9767783033558786,17.02322169664412,,20,775.6777350250343,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,18.170700931912496,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,18.170700931912496,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC188,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.417763243205664,-42.929688253719526,961.5912136692932,9.382851514561708,Prompt5,B,50,-3.483932164102619,16.51606783589738,,20,1237.493339064496,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,17.663547071165755,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,17.663547071165755,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC189,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.42834503729004,-42.93496632966854,276.6858334185025,11.973772662102192,Prompt5,B,50,-2.496955983511018,17.503044016488982,,20,498.6001418699652,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,18.65052325175736,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683778,1.1474792352683736,0.0116020298279625,21.14747923526837,18.65052325175736,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC190,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.42239992217531,-42.93421738731918,660.9305408148613,23.39651840640238,Prompt5,B,50,-3.1144122900600912,16.88558770993991,,20,880.5112726767655,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,18.033066945208283,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,18.033066945208283,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC191,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.41726851000286,-42.93245544853951,992.8579996674624,27.02198866734813,Prompt5,B,50,-1.740612762231759,18.25938723776824,,20,248.43633239009804,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,19.40686647303661,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683707,1.1474792352683736,0.0116020298279625,21.14747923526837,19.40686647303661,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC192,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.424638528299502,-42.93554120195487,515.9924607652792,25.17587855083991,Prompt5,B,50,-8.119674180797016,11.880325819202984,0.003554486369057,20,88478.89224978576,290.13712349561706,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,13.027805054471358,True,False,False,False,False,False,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,13.027805054471358,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC193,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.42305277083472,-42.93663230892949,618.1647875047577,35.84399094013094,Prompt5,B,50,-4.469041265340124,15.530958734659876,,20,3066.101379013112,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,16.67843796992825,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,16.67843796992825,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC194,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.429168329312327,-42.93995986969082,222.30825133768155,39.1892765640161,Prompt5,B,50,-2.7235999809496647,17.276400019050335,,20,614.3417022026008,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,18.42387925431871,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683743,1.1474792352683736,0.0116020298279625,21.14747923526837,18.42387925431871,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC195,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.422582774959908,-42.93681145480721,648.4816704899735,38.16291314649811,Prompt5,B,50,-4.962833413233964,15.037166586766036,0.0027552144879697,20,4831.737921087921,12.27681248595232,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,16.184645822034412,True,False,False,False,False,False,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.147479235268376,1.1474792352683736,0.0116020298279625,21.14747923526837,16.184645822034412,False,False,False,False,not_selected_by_field_cal,,,,,
2308734,SRC196,2026-04-16 20:27:33.000,2461147.5191319445,61147.01913194452,13.428890467973396,-42.94008279308337,240.22807927035927,40.640405988844805,Prompt5,B,50,-4.1785376863276245,15.821462313672376,,20,2346.308310546431,0.0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.0116020298279625,21.14747923526837,16.968941548940748,True,False,False,False,True,True,,,,,,,,,,,,False,False,not_selected_by_field_cal,1.1474792352683725,1.1474792352683736,0.0116020298279625,21.14747923526837,16.968941548940748,False,False,False,False,not_selected_by_field_cal,,,,,
